"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
NA,"900  SAINT PAUL ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-15T19:29:34.000","2015-08-24T19:29:34.000","MOUNT VERNON","15-00558262","MD","CLOSED","2015-07-17T13:03:40.000",NA,"21202",NA,NA,NA
NA,"4201  POWELL AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-12T01:11:57.000","2015-07-22T01:11:57.000","CEDMONT","15-00456960","MD","CLOSED","2015-06-22T14:36:59.000",NA,"21206",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-23T17:12:49.000","2015-08-02T17:12:49.000","MORRELL PARK","15-00489823","MD","CLOSED","2015-06-23T18:52:21.000",NA,NA,NA,NA,NA
"Cityworks SR Comments","3929  DUDLEY AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-21T20:05:13.000","2015-08-30T20:05:13.000","BELAIR-EDISON","15-00575773","MD","O-PENDNG","2015-07-29T12:23:26.000","2015-07-23T11:25:45.000","21213","UPDATED",NA,NA
NA,"1208 N CURLEY ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-16T19:43:08.000","2015-07-26T19:43:08.000","BEREA","15-00469443","MD","CLOSED","2015-07-30T13:04:25.000",NA,"21213",NA,NA,NA
NA,"801  CHAUNCEY AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-02T13:37:31.000","2015-05-12T13:37:31.000","RESERVOIR HILL","15-00259205","MD","CLOSED","2015-07-01T13:03:16.000",NA,"21217",NA,NA,NA
NA,"100  LIGHT ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-28T14:02:21.000","2015-09-06T14:02:21.000","INNER HARBOR","15-00596099","MD","CLOSED","2015-07-28T18:04:07.000",NA,"21202",NA,NA,NA
NA,"2522 E FAYETTE ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-21T14:05:29.000","2015-06-30T14:05:29.000","MCELDERRY PARK","15-00398703","MD","CLOSED","2015-05-27T12:40:14.000",NA,"21224",NA,NA,NA
"Dispatch lighting Inspector","115 E NORTHERN PKWY","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-11T17:42:47.000","2015-07-21T17:42:47.000","HOMELAND","15-00455737","MD","CLOSED","2015-06-22T14:32:20.000","2015-06-15T11:59:00.000","21212",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-24T16:03:36.000","2015-08-03T16:03:36.000","MORRELL PARK","15-00493491","MD","CLOSED","2015-06-24T17:37:51.000",NA,NA,NA,NA,NA
