"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Dispatch Work Crew","1702 W COLD SPRING LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-04T13:36:02.000","2015-04-04T13:36:02.000","CROSS KEYS","Debris Removed (Closed)","15-00264148","MD","CLOSED","2015-04-04T14:26:25.000","2015-04-04T14:25:00.000","21209",NA,NA
NA,"2933  KESWICK RD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-03T17:52:04.000","2015-04-03T17:52:04.000","HAMPDEN",NA,"15-00263125","MD","CLOSED","2015-04-03T18:02:19.000",NA,"21211",NA,NA
"Dispatch Work Crew","6400  FRANKFORD AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-02T20:14:26.000","2015-04-02T20:14:26.000","FRANKFORD","No Trouble Found (Closed)","15-00261181","MD","CLOSED","2015-04-02T22:16:18.000","2015-04-02T22:16:00.000","21206",NA,NA
"Dispatch Work Crew","KEY HWY & MCHENRY ROW","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-02T19:57:08.000","2015-04-02T19:57:08.000","LOCUST POINT INDUSTRIAL AREA","No Trouble Found (Closed)","15-00261130","MD","CLOSED","2015-04-02T20:53:25.000","2015-04-02T20:53:00.000","21230",NA,NA
"Dispatch Work Crew","3900  SINCLAIR LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-02T19:56:41.000","2015-04-02T19:56:41.000","BELAIR-EDISON","Debris Removed (Closed)","15-00261128","MD","CLOSED","2015-04-02T22:15:32.000","2015-04-02T22:15:00.000","21213",NA,NA
"Dispatch Work Crew","I 83 S & SAINT PAUL ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-01T13:04:28.000","2015-04-01T13:04:28.000","MID-TOWN BELVEDERE","Debris Removed (Closed)","15-00255571","MD","CLOSED","2015-04-01T13:20:22.000","2015-04-01T13:19:00.000","21201",NA,NA
"Dispatch Work Crew","MONTEREY RD & LOCH RAVEN BLVD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-01T06:36:04.000","2015-04-01T06:36:04.000","EDNOR GARDENS-LAKESIDE","Debris Removed (Closed)","15-00254683","MD","CLOSED","2015-04-01T07:11:36.000","2015-04-01T07:11:00.000","21218",NA,NA
"Dispatch Work Crew","1701 W COLD SPRING LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-03-31T16:49:58.000","2015-03-31T16:49:58.000","MEDFIELD","Debris Removed (Closed)","15-00253371","MD","CLOSED","2015-03-31T20:51:43.000","2015-03-31T20:51:00.000","21209",NA,NA
"Dispatch Work Crew","S 83","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-03-31T16:27:15.000","2015-03-31T16:27:15.000","COLDSPRING","Debris Removed (Closed)","15-00253291","MD","CLOSED","2015-03-31T17:05:15.000","2015-03-31T17:05:00.000","21209",NA,NA
"Dispatch Work Crew","I 83 S &W COLD SPRING LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-03-31T16:20:03.000","2015-03-31T16:20:03.000","WOODBERRY","Debris Removed (Closed)","15-00253252","MD","CLOSED","2015-03-31T16:58:36.000","2015-03-31T16:58:00.000","21209",NA,NA
NA,"3200  PRESBURY ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-03-30T18:40:07.000","2015-03-30T18:40:07.000","ROSEMONT",NA,"15-00250379","MD","CLOSED","2015-03-30T22:49:03.000",NA,"21216",NA,NA
"Dispatch Work Crew","3200  FAIT AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-03-29T16:25:06.000","2015-03-29T16:25:06.000","CANTON","No Trouble Found (Closed)","15-00247131","MD","CLOSED","2015-03-29T18:38:51.000","2015-03-29T18:38:00.000","21224",NA,NA
