"subType","name","block","type","numLanes","project","route","length","dateInstalled","lon","lat"
"STRPRD","EUTAW PL","2200 BLK EUTAW PL"," ",1," ","EUTAW",586.1531418,0,"-76.634421","39.310594"
"STRPRD","BOSTON ST",NA," ",0," "," ",25.72127253,0,NA,NA
" "," ",NA,"SIDEPATH",1," ","NORTHERN",1024.674625,2010,NA,NA
" ","HUNTINGDON PATH",NA,"SIDEPATH",1," "," ",0,0,NA,NA
"STRPRD","BATTERY AVE","800 BLK BATTERY AVE","SIGNED ROUTE",1," ","FT McHENRY",198.9303729,0,"-76.609879","39.280032"
"STRPRD","BATTERY AVE","800 BLK BATTERY AVE","SIGNED ROUTE",1," ","FT McHENRY",191.2351846,0,"-76.609879","39.280032"
"STRPRD","BATTERY AVE","700 BLK BATTERY AVE","SIGNED ROUTE",1," ","FT McHENRY",126.1975638,0,"-76.609895","39.280657"
"STRPRD","BATTERY AVE","700 BLK BATTERY AVE","SIGNED ROUTE",1," ","FT McHENRY",107.0565235,0,"-76.609895","39.280657"
"STRPRD","W UNIVERSITY PKWY","1 BLK W UNIVERSITY PKWY","BIKE LANE",1," "," ",431.0005826,0,"-76.616856","39.331355"
"STRPRD","RIVERSIDE AVE","1000 BLK RIVERSIDE AVE","SIGNED ROUTE",1," ","FT McHENRY",45.60896379,0,"-76.609182","39.278448"
"STRPRD","E GITTINGS ST","500 BLK E GITTINGS ST","SIGNED ROUTE",1," ","FT McHENRY",204.3115176,0,"-76.606881","39.274449"
"STRPRD","E GITTINGS ST","500 BLK E GITTINGS ST","SIGNED ROUTE",1," ","FT McHENRY",124.9468269,0,"-76.606881","39.274449"
"STRPRD","E GITTINGS ST","400 BLK E GITTINGS ST","SIGNED ROUTE",1," ","FT McHENRY",229.5771114,0,"-76.608148","39.274432"
"STRPRD","E GITTINGS ST","400 BLK E GITTINGS ST","SIGNED ROUTE",1," ","FT McHENRY",130.7760593,0,"-76.608148","39.274432"
"STRPRD","E GITTINGS ST","400 BLK E GITTINGS ST","SIGNED ROUTE",1," ","FT McHENRY",112.2064939,0,"-76.608148","39.274432"
"STRPRD","E GITTINGS ST","300 BLK E GITTINGS ST","SIGNED ROUTE",1," ","FT McHENRY",122.2021781,0,"-76.609142","39.274372"
"STRPRD","E GITTINGS ST","300 BLK E GITTINGS ST","SIGNED ROUTE",1," ","FT McHENRY",114.4979142,0,"-76.609142","39.274372"
"STRPRD","E GITTINGS ST","200 BLK E GITTINGS ST","SIGNED ROUTE",1," ","FT McHENRY",119.0238741,0,"-76.609867","39.274180"
"STRPRD","E GITTINGS ST","200 BLK E GITTINGS ST","SIGNED ROUTE",1," ","FT McHENRY",117.233256,0,"-76.609867","39.274180"
"STRPRD","E GITTINGS ST",NA,"SIGNED ROUTE",1," ","FT McHENRY",100.0543807,0,NA,NA
"STRPRD","E CLEMENT ST","500 BLK E CLEMENT ST","SIGNED ROUTE",1," ","FT McHENRY",117.9646483,0,"-76.606470","39.274141"
"STRPRD","E CLEMENT ST","500 BLK E CLEMENT ST","SIGNED ROUTE",1," ","FT McHENRY",107.719114,0,"-76.606470","39.274141"
"STRPRD","E CLEMENT ST","500 BLK E CLEMENT ST","SIGNED ROUTE",1," ","FT McHENRY",73.90736438,0,"-76.606470","39.274141"
"STRPRD","E CLEMENT ST","500 BLK E CLEMENT ST","SIGNED ROUTE",1," ","FT McHENRY",23.55167228,0,"-76.606470","39.274141"
"STRPRD","E CLEMENT ST","400 BLK E CLEMENT ST","SIGNED ROUTE",1," ","FT McHENRY",242.2615902,0,"-76.608125","39.274000"
"STRPRD","E CLEMENT ST","400 BLK E CLEMENT ST","SIGNED ROUTE",1," ","FT McHENRY",227.2976895,0,"-76.608125","39.274000"
"STRPRD","E CLEMENT ST",NA,"SIGNED ROUTE",1," ","FT McHENRY",101.4505706,0,NA,NA
"STRPRD","GREENSPRING AVE","5900 BLK GREENSPRING AVE","BIKE LANE",2," "," ",350.6353091,2012,"-76.674358","39.364757"
