"lat","lon","type"
39.3015073,-76.6250896,"Hazard"
39.2994633,-76.594168,"Hazard"
39.2848348,-76.5863987,"Hazard"
39.3067341,-76.6244031,"Hazard"
39.290757,-76.620127,"Hazard"
39.304844,-76.626522,"Hazard"
39.358469,-76.536152,"Hazard"
39.323579,-76.5689151,"Hazard"
39.340984,-76.65909,"Hazard"
39.3650581,-76.5859898,"Hazard"
39.3052481,-76.6159418,"Hazard"
39.340499,-76.661057,"Hazard"
39.3050085,-76.5763847,"Hazard"
39.322533,-76.672676,"Hazard"
39.3302743,-76.5914599,"Hazard"
39.2853191,-76.5746802,"Hazard"
39.3156267,-76.5587112,"Hazard"
39.3001689,-76.616215,"Hazard"
39.279784,-76.690229,"Hazard"
39.3258927,-76.5709759,"Hazard"
39.36358,-76.589752,"Hazard"
39.271946,-76.553505,"Hazard"
39.313801,-76.683973,"Hazard"
39.2952504,-76.6325179,"Hazard"
39.341039,-76.687312,"Hazard"
39.3153163,-76.5995178,"Hazard"
39.359315,-76.562865,"Hazard"
39.3306294,-76.5992846,"Hazard"
39.3001435,-76.6331108,"Hazard"
39.2877608,-76.6012377,"Hazard"
39.31288,-76.60609,"Hazard"
39.29264,-76.5890749,"Hazard"
39.29412,-76.559764,"Hazard"
39.294374,-76.5603121,"Hazard"
39.2940591,-76.5600052,"Hazard"
39.3041732,-76.622893,"Hazard"
39.301312,-76.637676,"Hazard"
39.3015883,-76.6358445,"Hazard"
39.301289,-76.6411576,"Hazard"
39.304242,-76.6453917,"Hazard"
39.3040119,-76.6259688,"Hazard"
39.3002619,-76.6306502,"Hazard"
39.256184,-76.643164,"Hazard"
39.3047139,-76.6252588,"Hazard"
39.298657,-76.633217,"Hazard"
39.2994292,-76.6297707,"Hazard"
39.279396,-76.610063,"Hazard"
39.3014119,-76.6232651,"Hazard"
39.3024507,-76.6229276,"Hazard"
39.2969082,-76.6332982,"Hazard"
